Feature,LightGBM_Gain,XGBoost_Gain,CatBoost_Gain,Abs_Correlation,LGBM_Norm,XGB_Norm,CB_Norm,Corr_Norm,Tree_Score,NN_Score,Combined_Score
GRP_Contract_TotalCharges_std,39.03160095214844,0.0,0.5765750827331657,0.4677333030786807,2.9921362421886657e-05,0.0,0.07707431226097997,0.8035401458803684,0.025701411207800617,0.8035401458803684,0.25905303160957094
CROSS3_Contract_InternetService_PaperlessBilling,58784.985895109174,0.007463747449219227,0.9396953660098782,0.41363135296651077,0.04506417428507347,0.019742762129965553,0.12561481798123345,0.7105959646570088,0.06347391813209081,0.7105959646570088,0.2576105320895662
ORIG_prob_PaymentMethod,3795.454587841034,0.0,0.35493581223740195,0.47489828719850896,0.002909569925605447,0.0,0.047446437496589514,0.8158491953899536,0.01678533580739832,0.8158491953899536,0.2565044936821649
WoE_InternetService,821.7823599815368,0.037189611792564393,0.6951059646848382,0.4037468478524711,0.0006299728226640274,0.09837225392763886,0.09291905908008675,0.6936149273243847,0.06397376194346321,0.6936149273243847,0.25286611155773964
COUNT_PaymentMethod,2208.432101869583,4.7211340279318394e-05,0.12464044741787497,0.4730568913561498,0.001692969176057624,0.0001248812700741835,0.016661449744055964,0.8126857783870298,0.006159766730062591,0.8126857783870298,0.24811757022715275
GRP_Contract_tenure_median,54.938201141357425,0.0,0.2760145541591747,0.4616380791173342,4.2115254999976646e-05,0.0,0.036896550983429616,0.7930688856155204,0.012312888746143197,0.7930688856155204,0.24653968780695631
GRP_Contract_tenure_mean,57.503919982910155,0.0,0.23604017175184872,0.4618351092855089,4.40821177844389e-05,0.0,0.03155293117679998,0.7934073726315952,0.01053233776486147,0.7934073726315952,0.24539484822488158
FREQ_PaymentMethod,1425.6505334854126,0.0004266758856829256,0.030403479445672833,0.4730568913561498,0.0010928940975716004,0.0011286234662872434,0.00406421876142807,0.8126857783870298,0.0020952454417623046,0.8126857783870298,0.24527240532534253
GRP_Contract_MonthlyCharges_mean,263.7840388774872,0.0,0.2686532321386463,0.45908862405143525,0.0002022150676842244,0.0,0.03591251811580323,0.7886890617242477,0.01203824439449582,0.7886890617242477,0.24503348959342136
GRP_Contract_MonthlyCharges_std,80.51648626327514,0.0,0.07354899867786276,0.46958934253953083,6.172339611111199e-05,0.0,0.00983174379251391,0.8067287198162302,0.003297822396208341,0.8067287198162302,0.2443270916222149
GRP_Contract_Artifact_Diff_std,159.30188837051392,0.0,0.033357428523758274,0.4713380405096725,0.00012211975476662356,0.0,0.004459091173479142,0.8097328869618652,0.001527070309415255,0.8097328869618652,0.2439888153051502
GRP_Contract_TotalCharges_median,0.0,0.0,0.05295061899756108,0.46876041816490616,0.0,0.0,0.0070782325932022905,0.8053046732312948,0.0023594108644007634,0.8053046732312948,0.24324298957446897
GRP_Contract_MonthlyCharges_median,199.0155816078186,0.0,0.06591439095220937,0.46682739617204655,0.00015256400454059077,0.0,0.008811179155818675,0.8019838475301772,0.002987914386786422,0.8019838475301772,0.24268669432980364
fiber_no_support,306.0631915569305,0.001346768531948328,0.04265499720607378,0.46107374479093133,0.00023462598138881,0.0035624102974116823,0.005701953956400221,0.7920993902129516,0.003166330078400238,0.7920993902129516,0.23984624811876565
GRP_InternetService_TotalCharges_diff,19392.321172857286,0.0031144477892667056,1.1181084748087529,0.38485271294623324,0.014866022808699326,0.008238194323700196,0.14946438774382503,0.6611558404496409,0.05752286829207485,0.6611558404496409,0.23861275993934467
RFM_combined,9407.590826869011,0.0015356715768575669,0.9238900580850375,0.4015838980038907,0.007211795770116111,0.004062087960226953,0.12350202595316746,0.6898990981853853,0.04492530322783684,0.6898990981853853,0.23841744171510137
FREQ_OnlineSecurity,70.9503824710846,0.0003429999924264848,0.5347703003337384,0.42655107517907076,5.4390085369325405e-05,0.0009072878345802633,0.07148601170976289,0.7327913383947389,0.024149229876570824,0.7327913383947389,0.23674186243202122
Contract,84.88886184692383,0.003352214116603136,0.06889193828864135,0.4492849150541378,6.507522978668557e-05,0.008867122898126937,0.009209206091169634,0.7718468276861641,0.0060471347396944194,0.7718468276861641,0.2357870426236353
ORIG_prob_OnlineSecurity,80.06932773590088,0.0024275057367049158,0.44417705597040075,0.42657903006887266,6.138060739552728e-05,0.0064211267402818385,0.05937585951293868,0.7328393633612779,0.021952788953538683,0.7328393633612779,0.23521876127586044
